Fecha,Precio_USD
2025-06-10,673.48
2025-06-11,667.74
2025-06-12,656.48
2025-06-13,654.91
2025-06-14,645.81
2025-06-15,648.2
2025-06-16,651.48
2025-06-17,648.8
2025-06-18,643.77
2025-06-19,644.36
2025-06-20,641.47
2025-06-21,626.57
2025-06-22,615.92
2025-06-23,640.25
2025-06-24,643.41
2025-06-25,645.87
2025-06-26,642.46
2025-06-27,646.0
2025-06-28,648.77
2025-06-29,655.08
2025-06-30,657.01
2025-07-01,646.18
2025-07-02,660.03
2025-07-03,663.02
2025-07-04,653.16
2025-07-05,655.93
2025-07-06,663.02
2025-07-07,661.29
2025-07-08,660.7
2025-07-09,669.26
2025-07-10,682.06
